time,bid,ask
1526128793825,8572.90000,8573.00000
1526128796913,8572.90000,8573.00000
1526128800684,8572.90000,8573.00000
1526128804511,8572.90000,8573.00000
1526128805736,8572.90000,8573.00000
1526128811662,8572.90000,8573.00000
1526128816283,8572.90000,8573.00000
1526128819522,8572.90000,8573.00000
1526128823085,8563.60000,8573.00000
1526128826172,8563.70000,8570.00000
1526128830621,8566.40000,8569.90000
1526128834523,8566.40000,8573.00000
1526128836651,8566.40000,8573.00000
1526128841367,8566.40000,8573.00000
1526128844615,8566.60000,8572.70000
1526128849459,8566.70000,8571.90000
1526128852392,8566.70000,8572.00000
1526128856342,8566.50000,8572.00000
1526128860307,8566.50000,8571.90000
1526128863825,8567.00000,8571.90000
1526128867867,8567.00000,8572.00000
1526128871608,8567.00000,8572.00000
1526128874886,8567.00000,8571.90000
1526128878637,8567.00000,8571.90000
1526128882536,8569.80000,8571.90000
1526128886117,8569.80000,8573.00000
1526128887521,8569.80000,8575.00000
1526128892876,8569.80000,8574.90000
1526128896698,8569.80000,8574.80000
1526128900549,8569.80000,8574.50000
1526128904560,8570.00000,8572.60000
1526128908470,8569.90000,8574.20000
1526128911723,8569.90000,8574.40000
1526128914215,8569.90000,8572.30000
1526128919362,8569.90000,8574.30000
1526128923435,8569.90000,8574.20000
1526128926132,8569.90000,8574.20000
1526128930160,8569.90000,8574.10000
1526128934090,8569.90000,8574.00000
1526128937862,8570.00000,8574.00000
1526128941631,8570.00000,8574.40000
1526128945157,8569.90000,8574.40000
1526128949749,8569.90000,8574.40000
1526128952609,8574.30000,8574.40000
1526128956556,8574.30000,8574.40000
1526128960433,8574.30000,8574.40000
1526128964449,8574.30000,8574.40000
1526128968188,8574.30000,8574.40000
1526128971042,8574.30000,8574.40000
1526128973997,8574.30000,8574.40000
1526128976800,8574.30000,8574.40000
1526128982846,8574.30000,8574.40000
1526128984181,8574.30000,8574.40000
1526128989842,8574.30000,8574.40000
1526128993805,8574.30000,8574.40000
1526128997163,8574.30000,8574.40000
1526129000947,8574.30000,8574.40000
1526129004800,8574.30000,8574.40000
1526129008752,8574.30000,8574.40000
1526129011786,8574.30000,8574.40000
1526129014941,8574.30000,8574.40000
1526129018162,8574.30000,8574.40000
1526129022968,8574.30000,8574.40000
1526129026665,8574.30000,8574.40000
1526129030570,8574.30000,8574.40000
1526129034156,8574.30000,8574.40000
1526129038161,8574.30000,8574.40000
1526129041246,8574.30000,8574.40000
1526129045485,8574.30000,8574.40000
1526129049242,8574.30000,8574.40000
1526129052311,8574.30000,8574.40000
1526129056299,8574.30000,8574.40000
1526129060284,8574.30000,8574.40000
1526129063893,8574.30000,8574.40000
1526129066797,8574.30000,8574.40000
1526129070941,8574.30000,8574.40000
1526129074624,8574.30000,8574.40000
1526129078349,8574.30000,8574.40000
1526129082523,8574.30000,8574.40000
1526129085861,8574.30000,8574.40000
1526129089181,8574.30000,8574.40000
1526129092966,8574.30000,8574.40000
1526129097307,8574.30000,8574.40000
1526129100522,8574.30000,8574.40000
1526129103746,8574.30000,8574.40000
1526129107605,8574.30000,8574.40000
1526129112027,8574.30000,8574.40000
1526129115285,8574.30000,8574.40000
1526129119414,8574.30000,8574.40000
1526129122750,8574.30000,8574.40000
1526129126933,8574.30000,8574.40000
1526129130023,8574.30000,8574.40000
1526129132918,8574.30000,8574.40000
1526129137773,8574.30000,8574.40000
1526129141093,8574.30000,8574.40000
1526129144840,8574.30000,8574.40000
1526129149302,8574.30000,8574.40000
1526129152224,8574.30000,8574.40000
1526129155456,8574.30000,8574.40000
1526129160546,8574.30000,8574.40000
1526129163702,8574.30000,8574.40000
1526129168033,8574.30000,8574.40000
1526129171511,8574.30000,8574.40000
1526129174937,8574.30000,8574.40000
1526129179109,8574.30000,8574.40000
1526129182976,8574.30000,8574.40000
1526129184171,8574.30000,8574.40000
1526129186457,8574.30000,8574.40000
1526129192581,8575.00000,8582.70000
1526129195423,8575.10000,8582.70000
1526129200648,8575.20000,8582.70000
1526129203468,8575.20000,8582.70000
1526129206275,8575.20000,8582.70000
1526129209479,8575.10000,8582.70000
1526129214883,8582.60000,8586.20000
1526129219817,8582.60000,8586.20000
1526129223742,8582.80000,8589.50000
1526129227736,8582.90000,8589.10000
1526129231841,8583.10000,8589.10000
1526129235561,8583.40000,8589.10000
1526129239019,8583.40000,8589.10000
1526129242246,8583.40000,8589.10000
1526129245972,8589.00000,8589.10000
1526129250842,8589.00000,8589.60000
1526129254713,8589.10000,8589.60000
1526129257771,8589.10000,8589.60000
1526129261662,8589.00000,8589.60000
1526129265408,8589.10000,8589.50000
1526129269703,8589.10000,8589.60000
1526129272730,8589.10000,8589.60000
1526129277026,8589.10000,8589.50000
1526129281097,8589.10000,8589.50000
1526129284306,8589.20000,8589.60000
1526129288327,8589.10000,8589.60000
1526129292122,8589.10000,8589.60000
1526129294535,8589.50000,8589.60000
