time,bid,ask
1526128360113,8575.63,8583.99
1526128364474,8575.64,8579.18
1526128366331,8575.64,8579.18
1526128371734,8575.64,8579.18
1526128375543,8569.18,8579.25
1526128378792,8569.18,8579.25
1526128382148,8569.86,8577.50
1526128386357,8570.37,8575.62
1526128388551,8570.37,8575.62
1526128397462,8575.61,8575.62
1526128401517,8570.67,8575.62
1526128404641,8570.67,8575.62
1526128408405,8575.61,8575.62
1526128412337,8571.26,8575.62
1526128415370,8571.26,8575.62
1526128419460,8571.31,8575.62
1526128423333,8575.52,8577.94
1526128427347,8577.93,8585.67
1526128430659,8577.93,8585.67
1526128434411,8577.81,8577.99
1526128437016,8575.33,8580.09
1526128441373,8575.58,8580.10
1526128445694,8575.58,8580.10
1526128449158,8575.77,8580.09
1526128452557,8575.77,8580.09
1526128456964,8575.77,8580.09
1526128460602,8577.21,8586.29
1526128463650,8577.22,8579.53
1526128467512,8577.22,8579.53
1526128471600,8577.22,8579.53
1526128474862,8577.22,8579.53
1526128478234,8577.24,8586.25
1526128481876,8577.24,8586.25
1526128485431,8577.25,8580.52
1526128490362,8577.26,8580.52
1526128493295,8577.26,8580.52
1526128497150,8577.22,8580.51
1526128500618,8577.22,8580.51
1526128504537,8577.22,8577.76
1526128507834,8577.22,8577.76
1526128511223,8577.22,8577.76
1526128515527,8577.22,8577.55
1526128518778,8577.22,8577.55
1526128523151,8577.34,8579.63
1526128526566,8577.34,8579.63
1526128530503,8577.34,8579.63
1526128534775,8577.34,8579.63
1526128538028,8577.35,8579.99
1526128541812,8577.35,8579.99
1526128544737,8577.35,8579.99
1526128548676,8577.35,8580.81
1526128553115,8577.37,8586.29
1526128555071,8577.37,8586.29
1526128559595,8580.79,8586.29
1526128563726,8577.63,8586.29
1526128567512,8577.40,8581.89
1526128569667,8577.40,8581.89
1526128574896,8577.70,8586.29
1526128578953,8580.53,8584.10
1526128581083,8580.53,8584.10
1526128585810,8580.54,8583.88
1526128589646,8580.53,8582.49
1526128592770,8582.48,8582.49
1526128597346,8582.48,8582.49
1526128600532,8582.48,8582.49
1526128604467,8582.48,8582.49
1526128608256,8582.48,8582.49
1526128612154,8582.48,8582.49
1526128615538,8582.48,8582.49
1526128619499,8582.48,8582.49
1526128622241,8582.48,8582.49
1526128625911,8582.48,8582.49
